scenario	kit	weapon	subject	strategy	termination	subjectHull	opponentHull	shieldRemaining	subjectShots	opponentShots	spentCredits	earnedCredits	endingCredits	nominalConsumedReplacementValue	fallbacks	comparisonStatus	hullDeltaVsFire	opponentHullDeltaVsFire	cashDeltaVsFire
open-42	depleted-30k	sandhog	p2	fire-first	game_over	0	100	0	1	2	16750	500	13750	3350	0	baseline	NA	NA	NA
open-42	depleted-30k	sandhog	p2	shield-first	horizon	59.61909933449836	100	40.17719784722891	1	2	20000	500	10500	6666.666666666667	1	compared	59.61909933449836	0	-3250
open-42	depleted-30k	sandhog	p2	heavy-shield-first	horizon	59.61909933449836	100	160.1771978472289	1	2	30000	500	500	15000	1	compared	59.61909933449836	0	-13250
open-7	stock	missile	p1	fire-first	game_over	0	100	0	2	2	0	1000	9000	750	0	baseline	NA	NA	NA
open-7	stock	missile	p1	shield-first	horizon	48.83483057879589	100	0	1	2	0	500	8500	7041.666666666667	0	compared	48.83483057879589	0	-500
open-7	stock	missile	p1	heavy-shield-first	horizon	94	100	74.83483057879589	1	2	0	500	8500	15375	0	compared	94	0	-500
open-7	stock	missile	p2	fire-first	game_over	100	0	0	2	2	0	9000	17000	750	0	baseline	NA	NA	NA
open-7	stock	missile	p2	shield-first	horizon	100	40.610195538412455	120	1	2	0	5251	13251	7041.666666666667	0	compared	0	40.610195538412455	-3749
open-7	stock	missile	p2	heavy-shield-first	horizon	100	40.610195538412455	240	1	2	0	5251	13251	15375	0	compared	0	40.610195538412455	-3749
open-7	stock	heavy_missile	p1	fire-first	game_over	0	90.45056480467994	0	2	2	6000	1764	3764	4000	0	baseline	NA	NA	NA
open-7	stock	heavy_missile	p1	shield-first	game_over	0	100	0	1	2	0	500	8500	8666.666666666668	0	compared	0	9.549435195320058	4736
open-7	stock	heavy_missile	p1	heavy-shield-first	horizon	75	100	42.29766589411612	1	2	0	500	8500	17000	0	compared	75	9.549435195320058	4736
open-7	stock	heavy_missile	p2	fire-first	game_over	90.45056480467994	0	0	2	2	6000	7480	9480	4000	0	baseline	NA	NA	NA
open-7	stock	heavy_missile	p2	shield-first	horizon	90.45056480467994	3.5440409041787007	120	1	2	0	6536	14536	8666.666666666668	0	compared	0	3.5440409041787007	5056
open-7	stock	heavy_missile	p2	heavy-shield-first	horizon	90.45056480467994	3.5440409041787007	240	1	2	0	6536	14536	17000	0	compared	0	3.5440409041787007	5056
open-7	stock	sandhog	p1	fire-first	game_over	0	34	0	2	2	0	1000	9000	3350	2	baseline	NA	NA	NA
open-7	stock	sandhog	p1	shield-first	horizon	36	100	52.57034884616275	1	2	0	500	8500	10016.666666666668	1	compared	36	66	-500
open-7	stock	sandhog	p1	heavy-shield-first	horizon	36	100	172.57034884616277	1	2	0	500	8500	18350	1	compared	36	66	-500
open-7	stock	sandhog	p2	fire-first	game_over	34	0	0	2	2	0	3720	11720	3350	2	baseline	NA	NA	NA
open-7	stock	sandhog	p2	shield-first	horizon	34	100	116.32017009415581	1	2	0	500	8500	10016.666666666668	1	compared	0	100	-3220
open-7	stock	sandhog	p2	heavy-shield-first	horizon	34	100	236.32017009415583	1	2	0	500	8500	18350	1	compared	0	100	-3220
open-7	depleted-30k	missile	p1	fire-first	game_over	0	100	0	2	2	1875	1000	29125	750	0	baseline	NA	NA	NA
open-7	depleted-30k	missile	p1	shield-first	horizon	48.83483057879589	100	0	1	2	21875	500	8625	7041.666666666667	0	compared	48.83483057879589	0	-20500
open-7	depleted-30k	missile	p1	heavy-shield-first	horizon	97	100	108.57408407790248	1	2	30000	500	500	15000	1	compared	97	0	-28625
open-7	depleted-30k	missile	p2	fire-first	game_over	100	0	0	2	2	1875	9000	37125	750	0	baseline	NA	NA	NA
open-7	depleted-30k	missile	p2	shield-first	horizon	100	40.610195538412455	120	1	2	21875	5251	13376	7041.666666666667	0	compared	0	40.610195538412455	-23749
open-7	depleted-30k	missile	p2	heavy-shield-first	horizon	100	66.96049297713071	240	1	2	30000	3143	3143	15000	1	compared	0	66.96049297713071	-33982
open-7	depleted-30k	heavy_missile	p1	fire-first	game_over	0	90.45056480467994	0	2	2	6000	1764	25764	4000	0	baseline	NA	NA	NA
open-7	depleted-30k	heavy_missile	p1	shield-first	game_over	0	100	0	1	2	26000	500	4500	8666.666666666668	0	compared	0	9.549435195320058	-21264
open-7	depleted-30k	heavy_missile	p1	heavy-shield-first	horizon	45	100	108.45046577280357	1	2	30000	500	500	15000	1	compared	45	9.549435195320058	-25264
open-7	depleted-30k	heavy_missile	p2	fire-first	game_over	90.45056480467994	0	0	2	2	6000	7480	31480	4000	0	baseline	NA	NA	NA
open-7	depleted-30k	heavy_missile	p2	shield-first	horizon	90.45056480467994	3.5440409041787007	120	1	2	26000	6536	10536	8666.666666666668	0	compared	0	3.5440409041787007	-20944
open-7	depleted-30k	heavy_missile	p2	heavy-shield-first	horizon	90.45056480467994	66.96049297713071	240	1	2	30000	3143	3143	15000	1	compared	0	66.96049297713071	-28337
open-7	depleted-30k	sandhog	p1	fire-first	game_over	0	34	0	2	2	16750	1000	14250	6700	0	baseline	NA	NA	NA
open-7	depleted-30k	sandhog	p1	shield-first	horizon	36	100	22.888158157230208	1	2	20000	500	10500	6666.666666666667	1	compared	36	66	-3750
open-7	depleted-30k	sandhog	p1	heavy-shield-first	horizon	36	100	142.8881581572302	1	2	30000	500	500	15000	1	compared	36	66	-13750
open-7	depleted-30k	sandhog	p2	fire-first	game_over	34	0	0	2	2	16750	3720	16970	6700	0	baseline	NA	NA	NA
open-7	depleted-30k	sandhog	p2	shield-first	horizon	19	100	60.349725225890836	1	2	20000	500	10500	6666.666666666667	1	compared	-15	100	-6470
open-7	depleted-30k	sandhog	p2	heavy-shield-first	horizon	19	100	180.34972522589084	1	2	30000	500	500	15000	1	compared	-15	100	-16470
wrap-13	stock	missile	p1	fire-first	game_over	41.71684672153578	0	0	2	1	0	9000	17000	750	0	baseline	NA	NA	NA
wrap-13	stock	missile	p1	shield-first	horizon	100	40.63675778064054	1.7095164270797625	1	2	0	5249	13249	7041.666666666667	0	compared	58.28315327846422	40.63675778064054	-3751
wrap-13	stock	missile	p1	heavy-shield-first	horizon	100	40.63675778064054	121.70951642707975	1	2	0	5249	13249	15375	0	compared	58.28315327846422	40.63675778064054	-3751
wrap-13	stock	missile	p2	fire-first	game_over	0	41.71684672153578	0	1	2	0	5163	13163	375	0	baseline	NA	NA	NA
wrap-13	stock	missile	p2	shield-first	horizon	40.81081144863331	40.60595667746107	60.69271748101248	1	2	0	5252	13252	7041.666666666667	0	compared	40.81081144863331	-1.1108900440747078	89
wrap-13	stock	missile	p2	heavy-shield-first	horizon	40.81081144863331	40.60595667746107	180.6927174810125	1	2	0	5252	13252	15375	0	compared	40.81081144863331	-1.1108900440747078	89
wrap-13	stock	heavy_missile	p1	fire-first	game_over	100	0	0	1	0	0	6312	14312	2000	0	baseline	NA	NA	NA
wrap-13	stock	heavy_missile	p1	shield-first	horizon	24.59828138557389	3.544797430061763	0	1	2	0	5976	13976	8666.666666666668	0	compared	-75.4017186144261	3.544797430061763	-336
wrap-13	stock	heavy_missile	p1	heavy-shield-first	horizon	38	3.544797430061763	106.5982813855739	1	2	0	5976	13976	17000	0	compared	-62	3.544797430061763	-336
wrap-13	stock	heavy_missile	p2	fire-first	game_over	0	100	0	0	1	0	0	8000	0	0	baseline	NA	NA	NA
wrap-13	stock	heavy_missile	p2	shield-first	game_over	0	100	0	0	1	0	0	8000	0	0	shield-not-executed	NA	NA	NA
wrap-13	stock	heavy_missile	p2	heavy-shield-first	game_over	0	100	0	0	1	0	0	8000	0	0	shield-not-executed	NA	NA	NA
wrap-13	stock	sandhog	p1	fire-first	game_over	34	0	0	2	1	0	4120	12120	3350	1	baseline	NA	NA	NA
wrap-13	stock	sandhog	p1	shield-first	horizon	34	21.08114995824151	87.0429233137021	1	2	0	1934	9934	10016.666666666668	1	compared	0	21.08114995824151	-2186
wrap-13	stock	sandhog	p1	heavy-shield-first	horizon	34	21.08114995824151	207.0429233137021	1	2	0	1934	9934	18350	1	compared	0	21.08114995824151	-2186
wrap-13	stock	sandhog	p2	fire-first	game_over	0	34	0	1	2	0	500	8500	3350	1	baseline	NA	NA	NA
wrap-13	stock	sandhog	p2	shield-first	horizon	20.288168696491354	13.4301152566551	86.99523117290772	1	2	0	3346	11346	10016.666666666668	1	compared	20.288168696491354	-20.5698847433449	2846
wrap-13	stock	sandhog	p2	heavy-shield-first	horizon	20.288168696491354	13.4301152566551	206.99523117290772	1	2	0	3346	11346	18350	1	compared	20.288168696491354	-20.5698847433449	2846
wrap-13	depleted-30k	missile	p1	fire-first	game_over	41.71684672153578	0	0	2	1	1875	9000	37125	750	0	baseline	NA	NA	NA
wrap-13	depleted-30k	missile	p1	shield-first	horizon	100	40.63675778064054	1.7095164270797625	1	2	21875	5249	13374	7041.666666666667	0	compared	58.28315327846422	40.63675778064054	-23751
wrap-13	depleted-30k	missile	p1	heavy-shield-first	horizon	100	67.00230391397122	121.783671988621	1	2	30000	3140	3140	15000	1	compared	58.28315327846422	67.00230391397122	-33985
wrap-13	depleted-30k	missile	p2	fire-first	game_over	0	41.71684672153578	0	1	2	1875	5163	33288	375	0	baseline	NA	NA	NA
wrap-13	depleted-30k	missile	p2	shield-first	horizon	40.81081144863331	40.60595667746107	60.69271748101248	1	2	21875	5252	13377	7041.666666666667	0	compared	40.81081144863331	-1.1108900440747078	-19911
wrap-13	depleted-30k	missile	p2	heavy-shield-first	horizon	40.81081144863331	66.95382069600353	180.6927174810125	1	2	30000	3144	3144	15000	1	compared	40.81081144863331	25.23697397446775	-30144
wrap-13	depleted-30k	heavy_missile	p1	fire-first	game_over	100	0	0	1	0	6000	6312	30312	2000	0	baseline	NA	NA	NA
wrap-13	depleted-30k	heavy_missile	p1	shield-first	horizon	24.59828138557389	3.544797430061763	0	1	2	26000	5976	9976	8666.666666666668	0	compared	-75.4017186144261	3.544797430061763	-20336
wrap-13	depleted-30k	heavy_missile	p1	heavy-shield-first	horizon	42	67.11418674018242	114.96226610109181	1	2	30000	3131	3131	15000	1	compared	-58	67.11418674018242	-27181
wrap-13	depleted-30k	heavy_missile	p2	fire-first	game_over	0	100	0	0	1	0	0	30000	0	0	baseline	NA	NA	NA
wrap-13	depleted-30k	heavy_missile	p2	shield-first	game_over	0	100	0	0	1	0	0	30000	0	0	shield-not-executed	NA	NA	NA
wrap-13	depleted-30k	heavy_missile	p2	heavy-shield-first	game_over	0	100	0	0	1	0	0	30000	0	0	shield-not-executed	NA	NA	NA
wrap-13	depleted-30k	sandhog	p1	fire-first	game_over	34	0	0	2	1	16750	4120	17370	6700	0	baseline	NA	NA	NA
wrap-13	depleted-30k	sandhog	p1	shield-first	horizon	15	67.3486582463091	70.42640661969428	1	2	20000	3112	13112	6666.666666666667	1	compared	-19	67.3486582463091	-4258
wrap-13	depleted-30k	sandhog	p1	heavy-shield-first	horizon	15	67.3486582463091	190.42640661969426	1	2	30000	3112	3112	15000	1	compared	-19	67.3486582463091	-14258
wrap-13	depleted-30k	sandhog	p2	fire-first	game_over	0	34	0	1	2	16750	500	13750	3350	0	baseline	NA	NA	NA
wrap-13	depleted-30k	sandhog	p2	shield-first	horizon	20.288168696491354	66.93135358537879	55.67295678581715	1	2	20000	3145	13145	6666.666666666667	1	compared	20.288168696491354	32.93135358537879	-605
wrap-13	depleted-30k	sandhog	p2	heavy-shield-first	horizon	20.288168696491354	66.93135358537879	175.67295678581715	1	2	30000	3145	3145	15000	1	compared	20.288168696491354	32.93135358537879	-10605
