scenario	weapon	angle	power	enemyHullLost	enemyShieldLost	selfHullLost	allyHullLost	enemyKills	enemyBuried	ticks	nominalAmmoCost	nominalNetCredits	toleranceN	toleranceDamaging	toleranceMeanHull	unresolved
shield-7	missile	0	0	0	0	0	0	0	0	16	375	125	4	0	0	0
shield-7	heavy_missile	0	10	0	0	0	0	0	0	16	2000	-1500	6	0	0	0
shield-7	nuke	34	100	43	43.98796045026023	0	0	0	0	122	12000	-11500	6	3	21.166666666666668	0
shield-7	cluster_bomb	0	0	0	0	0	0	0	0	16	3333.3333333333335	-2833.3333333333335	4	0	0	0
shield-7	bouncing_betty	40	100	0	48.76414490320451	0	0	0	0	203	1200	-700	6	0	0	0
shield-7	sandhog	32	100	58	0	0	0	0	0	144	3350	-2850	6	3	28.833333333333332	0
shield-7	riot_bomb	0	10	0	0	0	0	0	0	16	600	-100	6	0	0	0
shield-7	napalm	32	100	0	58.100000000000236	0	0	0	0	200	1000	-500	6	0	0	0
shield-7	dirt_bomb	0	0	0	0	0	0	0	0	16	1000	-500	4	0	0	0
shield-7	tracer	0	0	0	0	0	0	0	0	15	0.5	499.5	4	0	0	0
heavy-shield-42	baby_missile	0	0	0	0	0	0	0	0	19	0	500	4	0	0	0
heavy-shield-42	missile	0	0	0	0	0	0	0	0	19	375	125	4	0	0	0
heavy-shield-42	heavy_missile	30	100	0	27.515953981760163	0	0	0	0	117	2000	-1500	6	0	0	0
heavy-shield-42	nuke	30	100	70	62.4287280926537	0	0	0	0	119	12000	-11500	6	3	34.833333333333336	0
heavy-shield-42	cluster_bomb	0	0	0	0	0	0	0	0	19	3333.3333333333335	-2833.3333333333335	4	0	0	0
heavy-shield-42	bouncing_betty	16	100	4	38.607075362475	0	0	0	0	238	1200	-700	6	1	0.6666666666666666	0
heavy-shield-42	sandhog	24	100	39	3.9129704999668036	0	0	0	0	131	3350	-2850	6	4	19.833333333333332	0
heavy-shield-42	riot_bomb	0	10	0	0	0	0	0	0	13	600	-100	6	0	0	0
heavy-shield-42	napalm	26	100	0	59.499999999999034	0	0	0	0	197	1000	-500	6	0	0	0
heavy-shield-42	dirt_bomb	0	0	0	0	0	0	0	0	16	1000	-500	4	0	0	0
heavy-shield-42	tracer	0	0	0	0	0	0	0	0	15	0.5	499.5	4	0	0	0
four-seat-42	baby_missile	72	83	33.05156683518703	0	0	0	0	0	140	0	3144	9	9	24.27560576569645	0
four-seat-42	missile	32	100	60.38380266879226	0	0	0	0	0	116	375	4636	6	6	48.223143152957995	0
four-seat-42	heavy_missile	28	100	100	0	0	0	1	0	111	2000	3922	6	6	85.91645570888477	0
four-seat-42	nuke	8	90	100	0	0	0	1	0	23	12000	-7146	9	9	80.85092474847323	0
four-seat-42	cluster_bomb	14	83	87.03976372657414	0	0	0	0	0	26	3333.3333333333335	4129.666666666666	9	8	63.82219167900397	0
four-seat-42	bouncing_betty	16	70	88.30329518118796	0	0	0	0	0	201	1200	6364	9	9	54.6669703281798	0
four-seat-42	sandhog	56	85	89.48094918319508	0	0	0	0	0	168	3350	-972	9	9	70.34301064190842	0
four-seat-42	riot_bomb	26	100	46	0	0	0	0	0	108	600	-100	6	6	32.333333333333336	0
four-seat-42	napalm	8	85	59.50000000000024	0	0	0	0	0	116	1000	4260	9	6	39.588888888889045	0
four-seat-42	dirt_bomb	10	90	0	0	0	0	0	1	24	1000	-500	9	0	0	0
four-seat-42	tracer	0	0	0	0	0	0	0	0	15	0.5	499.5	4	0	0	0
teams-42	baby_missile	72	83	33.05156683518703	0	0	0	0	0	140	0	3144	9	9	24.27560576569645	0
teams-42	missile	32	100	60.38380266879226	0	0	0	0	0	116	375	4636	6	6	48.223143152957995	0
teams-42	heavy_missile	28	100	100	0	0	0	1	0	111	2000	3922	6	6	85.91645570888477	0
teams-42	nuke	8	90	100	0	0	0	1	0	23	12000	-7146	9	9	80.85092474847323	0
teams-42	cluster_bomb	20	65	96.11601889603341	0	0	0	0	0	37	3333.3333333333335	4855.666666666666	9	9	83.87182230063841	0
teams-42	bouncing_betty	16	70	88.30329518118796	0	0	0	0	0	201	1200	6364	9	9	52.006098217909226	0
teams-42	sandhog	8	90	66	0	0	0	0	0	59	3350	-2850	9	7	48.5184430917916	0
teams-42	riot_bomb	26	100	46	0	0	0	0	0	108	600	-100	6	6	32.333333333333336	0
teams-42	napalm	8	85	59.50000000000024	0	0	0	0	0	116	1000	4260	9	6	39.588888888889045	0
teams-42	dirt_bomb	10	90	0	0	0	0	0	1	24	1000	-500	9	0	0	0
teams-42	tracer	0	0	0	0	0	0	0	0	15	0.5	499.5	4	0	0	0
near-calm	baby_missile	28	44	32.95660326347877	0	0	0	0	0	57	0	3137	9	7	21.214328319614424	0
near-calm	missile	28	44	59.33713619091593	0	0	0	0	0	57	375	4872	9	9	51.4292088059732	0
near-calm	heavy_missile	0	70	94.01996607206951	0	0	0	0	0	31	2000	4582	6	5	74.48874996018982	0
near-calm	nuke	0	70	100	0	0	0	1	0	40	12000	-3970	6	6	89.85244373927651	0
near-calm	cluster_bomb	22	44	91.67919058681927	0	0	0	0	0	56	3333.3333333333335	4500.666666666666	9	9	74.4523380908753	0
near-calm	bouncing_betty	4	30	59.78241426614227	0	0	0	0	0	162	1200	3843	9	9	42.395155515856466	0
near-calm	sandhog	52	40	89.15826403094357	0	0	0	0	0	115	3350	-517	9	9	75.54345282415267	0
near-calm	riot_bomb	30	45	33	0	0	0	0	0	63	600	-100	9	9	21.22222222222222	0
near-calm	napalm	16	40	59.50000000000024	0	0	0	0	0	136	1000	4260	9	7	45.57777777777796	0
near-calm	dirt_bomb	0	70	0	0	0	0	0	1	28	1000	-500	6	0	0	0
near-calm	tracer	0	0	0	0	0	0	0	0	18	0.5	499.5	4	0	0	0
